"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","WT-30_1 Area","WT-30_2 Area","WT-30_3 Area","WT-22_1 Area","WT-22_2 Area","WT-22_3 Area","A1-30_1 Area","A1-30_2 Area","A1-30_3 Area","A1-22_1 Area","A1-22_2 Area","A1-22_3 Area","Sample Profile (Ratio)","WT-30 Area","WT-22 Area","A1-30 Area","A1-22 Area","Group Profile (Ratio)","Avg. Mass","Description"
2472,TRUE,"Q8C7X2|EMC1_MOUSE",11.91,1.00,1,1,"",5036.8228,4954.998,14353.782,0.0,3588.7927,5066.4634,12326.746,15084.719,16526.445,4557.3657,8061.567,9961.955,0.61:0.60:1.73:0.00:0.43:0.61:1.49:1.82:1.99:0.55:0.97:1.20,8115.201,4327.628,14645.97,7526.9624,0.94:0.50:1.69:0.87,111605,"ER membrane protein complex subunit 1 OS=Mus musculus OX=10090 GN=Emc1 PE=1 SV=1"
2953,TRUE,"Q80ZM8|CRLS1_MOUSE",12.02,6.60,1,1,"",24867.895,30916.422,17171.932,29358.6,8137.28,20171.225,3045.6948,26763.7,22855.494,3051.4595,5905.6196,2692.2603,1.53:1.90:1.06:1.81:0.50:1.24:0.19:1.65:1.41:0.19:0.36:0.17,24318.75,19222.367,17554.963,3883.113,1.50:1.18:1.08:0.24,32502,"Cardiolipin synthase (CMP-forming) OS=Mus musculus OX=10090 GN=Crls1 PE=1 SV=1"
1469,FALSE,"Q3URU2|PEG3_MOUSE",7.27,0.38,1,1,"",5649.9463,6988.1416,7914.2563,7546.1675,0.0,4531.0557,27151.63,9634.695,0.0,17512.365,0.0,0.0,0.78:0.96:1.09:1.04:0.00:0.63:3.75:1.33:0.00:2.42:0.00:0.00,6850.7812,6038.6113,18393.164,17512.365,0.56:0.50:1.51:1.44,178932,"Paternally-expressed gene 3 protein OS=Mus musculus OX=10090 GN=Peg3 PE=1 SV=1"
2410,TRUE,"Q8K013|GTPBA_MOUSE",17.46,1.64,1,1,"",153109.52,168742.1,191927.1,178721.2,235756.73,172518.58,0.0,138643.45,162845.52,0.0,12988.773,0.0,1.30:1.43:1.63:1.52:2.00:1.46:0.00:1.18:1.38:0.00:0.11:0.00,171259.56,195665.5,150744.48,12988.773,1.29:1.47:1.14:0.10,40142,"GTP-binding protein 10 OS=Mus musculus OX=10090 GN=Gtpbp10 PE=2 SV=1"
768,TRUE,"Q9WVC3|CAV2_MOUSE",9.16,43.21,7,7,"Carbamidomethylation; Oxidation (M)",1357374.8,747065.56,1096124.8,948721.7,869324.8,892573.5,1571022.1,952379.7,969676.25,185747.53,1236839.5,148505.33,1.48:0.82:1.20:1.04:0.95:0.98:1.72:1.04:1.06:0.20:1.35:0.16,1066855.0,903540.0,1164359.4,523697.44,1.17:0.99:1.27:0.57,18227,"Caveolin-2 OS=Mus musculus OX=10090 GN=Cav2 PE=1 SV=1"
1231,TRUE,"Q8R104|SIR3_MOUSE",0.32,14.07,4,4,"",255952.58,180050.17,221982.64,112936.39,352442.97,250372.4,232144.61,166448.42,227851.89,426844.97,279000.94,139920.16,1.08:0.76:0.94:0.48:1.49:1.06:0.98:0.70:0.96:1.80:1.18:0.59,219328.47,238583.92,208814.97,281922.03,0.92:1.01:0.88:1.19,36615,"NAD-dependent protein deacetylase sirtuin-3 OS=Mus musculus OX=10090 GN=Sirt3 PE=1 SV=2"
1463,TRUE,"Q8BFU3|RN214_MOUSE",11.18,1.80,2,2,"",39177.96,0.0,25824.572,0.0,77103.62,121778.24,103989.25,52206.473,37878.47,29927.236,39023.16,47345.81,0.82:0.00:0.54:0.00:1.61:2.54:2.17:1.09:0.79:0.63:0.82:0.99,32501.266,99440.92,100841.586,40758.684,0.48:1.45:1.47:0.60,73625,"RING finger protein 214 OS=Mus musculus OX=10090 GN=Rnf214 PE=1 SV=1"
2838,TRUE,"Q8C2L6|T161B_MOUSE",12.68,1.23,1,1,"",25170.244,18300.332,21464.707,29208.887,23157.05,30776.281,2797.9736,15782.433,9868.245,15198.348,30989.229,18063.719,1.25:0.91:1.07:1.46:1.15:1.53:0.14:0.79:0.49:0.76:1.54:0.90,21645.094,27714.072,9482.884,21417.098,1.08:1.38:0.47:1.07,55467,"Transmembrane protein 161B OS=Mus musculus OX=10090 GN=Tmem161b PE=2 SV=1"
2813,TRUE,"Q8BH60|GOPC_MOUSE",3.27,1.30,1,1,"",0.0,16819.828,0.0,0.0,0.0,47058.89,10295.368,0.0,0.0,0.0,29011.617,27842.445,0.00:1.54:0.00:0.00:0.00:4.31:0.94:0.00:0.00:0.00:2.66:2.55,16819.828,47058.89,10295.368,28427.031,0.66:1.83:0.40:1.11,50662,"Golgi-associated PDZ and coiled-coil motif-containing protein OS=Mus musculus OX=10090 GN=Gopc PE=1 SV=1"
164,FALSE,"Q9CY00|IT70B_MOUSE",4.08,1.05,1,1,"",313742.8,304721.7,208103.69,194216.5,251634.94,185758.34,501451.84,350773.8,168347.8,279581.16,333434.56,357575.88,1.09:1.06:0.72:0.68:0.88:0.65:1.74:1.22:0.59:0.97:1.16:1.24,275522.75,210536.6,340191.16,323530.53,0.96:0.73:1.18:1.13,76096,"Intraflagellar transport protein 70B OS=Mus musculus OX=10090 GN=Ift70b PE=1 SV=1"
1902,TRUE,"Q62209|SYCP1_MOUSE",3.49,0.70,1,1,"",124200.33,67941.625,197935.56,10232.517,33838.785,152667.98,28972.621,94647.88,49825.34,27576.9,119955.11,22690.463,1.60:0.88:2.55:0.13:0.44:1.97:0.37:1.22:0.64:0.36:1.55:0.29,130025.836,65579.766,57815.28,56740.824,1.68:0.85:0.75:0.73,115935,"Synaptonemal complex protein 1 OS=Mus musculus OX=10090 GN=Sycp1 PE=1 SV=2"
577,TRUE,"P24527|LKHA4_MOUSE",8.19,12.93,8,7,"",858621.94,492131.06,489960.38,3789636.5,982957.0,4239755.5,473771.28,540351.94,779548.6,671141.7,3255482.0,264659.5,0.61:0.35:0.35:2.70:0.70:3.02:0.34:0.39:0.56:0.48:2.32:0.19,613571.1,3004116.2,597890.6,1397094.4,0.44:2.14:0.43:1.00,69051,"Leukotriene A-4 hydrolase OS=Mus musculus OX=10090 GN=Lta4h PE=1 SV=4"
2456,TRUE,"Q9R0H2|MUCEN_MOUSE",13.86,8.05,2,2,"",55830.977,37132.242,28531.34,55121.49,119403.766,50881.258,50207.59,52943.523,26076.672,157772.58,66656.81,241978.34,0.71:0.47:0.36:0.70:1.52:0.65:0.64:0.67:0.33:2.01:0.85:3.08,40498.188,75135.5,43075.93,155469.25,0.52:0.96:0.55:1.98,27756,"Endomucin OS=Mus musculus OX=10090 GN=Emcn PE=1 SV=1"
427,TRUE,"Q91VM9|IPYR2_MOUSE",4.39,54.24,14,13,"Carbamidomethylation; Oxidation (M)",450014.88,411477.0,487893.7,429631.7,681667.7,594623.9,692486.9,747808.0,349257.3,544502.1,384061.1,235493.4,0.90:0.82:0.97:0.86:1.36:1.19:1.38:1.49:0.70:1.09:0.77:0.47,478039.94,568641.1,596517.4,388018.88,0.94:1.12:1.17:0.76,38115,"Inorganic pyrophosphatase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ppa2 PE=1 SV=1"
764,TRUE,"O09111|NDUBB_MOUSE",6.52,41.06,7,7,"",6809481.5,2012333.9,2388247.5,1547812.8,1249010.4,1609654.0,1157852.8,2322699.2,1517243.6,2429153.0,1182667.9,334667.84,3.33:0.98:1.17:0.76:0.61:0.79:0.57:1.13:0.74:1.19:0.58:0.16,3736687.8,1468825.8,1665931.9,1315496.2,1.83:0.72:0.81:0.64,17444,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial OS=Mus musculus OX=10090 GN=Ndufb11 PE=1 SV=2"
893,TRUE,"Q99N96|RM01_MOUSE",5.30,19.64,7,5,"",150066.62,96757.15,108906.14,123166.89,1728334.9,194420.67,67703.38,209786.66,66969.914,124618.64,152901.3,209277.28,0.56:0.36:0.40:0.46:6.42:0.72:0.25:0.78:0.25:0.46:0.57:0.78,118576.64,681974.1,123963.3,257387.8,0.40:2.31:0.42:0.87,37597,"Large ribosomal subunit protein uL1m OS=Mus musculus OX=10090 GN=Mrpl1 PE=1 SV=2"
23,FALSE,"A2AEV7|CC120_MOUSE",7.68,1.11,1,1,"",9990.016,0.0,14042.314,3112.7336,3819.4897,5967.6606,13532.425,4660.8906,0.0,0.0,6227.246,2912.9204,1.87:0.00:2.62:0.58:0.71:1.11:2.53:0.87:0.00:0.00:1.16:0.54,12016.165,4299.9614,9096.658,4570.083,1.60:0.57:1.21:0.61,67407,"Coiled-coil domain-containing protein 120 OS=Mus musculus OX=10090 GN=Ccdc120 PE=1 SV=1"
1518,TRUE,"P28828|PTPRM_MOUSE",1.15,0.41,3,1,"",42764.395,41681.23,11312.469,0.0,31963.623,24713.113,22488.113,61520.56,35274.76,34494.844,33466.047,55676.79,1.30:1.27:0.34:0.00:0.97:0.75:0.68:1.87:1.07:1.05:1.02:1.69,31919.365,28338.367,39761.145,41212.56,0.90:0.80:1.13:1.17,163653,"Receptor-type tyrosine-protein phosphatase mu OS=Mus musculus OX=10090 GN=Ptprm PE=1 SV=2"
300,TRUE,"Q9DBJ1|PGAM1_MOUSE",5.24,52.36,18,10,"Carbamidomethylation; Oxidation (M)",1727628.8,1978016.8,1584379.0,1302567.4,2093239.6,3150840.8,1813765.0,1411660.8,1060059.0,1075377.5,1857244.8,150736.39,1.08:1.24:0.99:0.81:1.31:1.97:1.13:0.88:0.66:0.67:1.16:0.09,1763341.5,2188720.0,1428495.0,1027786.25,1.10:1.37:0.89:0.64,28832,"Phosphoglycerate mutase 1 OS=Mus musculus OX=10090 GN=Pgam1 PE=1 SV=3"
2959,TRUE,"Q9D824|FIP1_MOUSE",10.32,1.03,1,1,"",0.0,0.0,373670.1,0.0,0.0,0.0,0.0,44138.8,7947.915,0.0,0.0,0.0,0.00:0.00:10.53:0.00:0.00:0.00:0.00:1.24:0.22:0.00:0.00:0.00,373670.1,0.0,26043.357,0.0,3.74:0.00:0.26:0.00,64959,"Pre-mRNA 3'-end-processing factor FIP1 OS=Mus musculus OX=10090 GN=Fip1l1 PE=1 SV=1"
2741,TRUE,"B2RR83|YTDC2_MOUSE",1.71,0.42,1,1,"",39062.13,31531.06,33798.434,43854.98,59639.504,61399.113,39160.406,15954.246,129245.7,58027.562,54529.938,56252.805,0.75:0.61:0.65:0.85:1.15:1.18:0.75:0.31:2.49:1.12:1.05:1.08,34797.207,54964.53,61453.453,56270.1,0.67:1.06:1.18:1.08,161092,"3'-5' RNA helicase YTHDC2 OS=Mus musculus OX=10090 GN=Ythdc2 PE=1 SV=1"
1177,FALSE,"Q6TL19|GUC2G_MOUSE",7.33,0.55,1,1,"",15447.808,11454.571,8992.569,5544.9883,15435.007,11553.819,12206.513,6399.519,6527.023,15030.45,12826.264,33774.434,1.19:0.89:0.70:0.43:1.19:0.89:0.94:0.49:0.50:1.16:0.99:2.61,11964.982,10844.6045,8377.685,20543.715,0.93:0.84:0.65:1.59,122546,"Guanylate cyclase 2G OS=Mus musculus OX=10090 GN=Gucy2g PE=1 SV=1"
3142,TRUE,"P61082|UBC12_MOUSE",1.73,6.01,1,1,"",16419.404,15417.04,23200.299,17025.797,10684.544,17261.572,20424.768,8497.434,19459.62,13264.742,19286.598,6420.751,1.05:0.99:1.49:1.09:0.68:1.11:1.31:0.54:1.25:0.85:1.24:0.41,18345.582,14990.638,16127.273,12990.697,1.17:0.96:1.03:0.83,20900,"NEDD8-conjugating enzyme Ubc12 OS=Mus musculus OX=10090 GN=Ube2m PE=1 SV=1"
498,TRUE,"P10107|ANXA1_MOUSE",1.17,31.21,12,10,"Acetylation (Protein N-term)",689474.25,563120.25,597174.75,829832.56,764644.9,295230.3,264723.28,515319.25,384573.62,422558.34,252445.6,2563650.8,1.02:0.83:0.88:1.22:1.13:0.44:0.39:0.76:0.57:0.62:0.37:3.78,616589.75,629902.56,388205.38,1079551.5,0.91:0.93:0.57:1.59,38734,"Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2"
783,TRUE,"Q07133|H1T_MOUSE",7.53,2.88,7,1,"",176176.92,205814.83,129484.836,168232.36,87113.5,189307.94,65366.17,89648.83,76736.89,63913.05,124067.414,6716.894,1.53:1.79:1.12:1.46:0.76:1.64:0.57:0.78:0.67:0.55:1.08:0.06,170492.19,148217.94,77250.63,64899.12,1.48:1.29:0.67:0.56,21540,"Histone H1t OS=Mus musculus OX=10090 GN=H1-6 PE=1 SV=4"
205,TRUE,"Q9DCS3|MECR_MOUSE",13.63,78.02,23,22,"Acetylation (Protein N-term); Carbamidomethylation; Oxidation (M)",2165639.2,1222632.6,1754683.4,1263670.5,1306744.9,957287.44,1408608.0,1131956.4,863619.4,616867.8,881807.8,196453.23,1.89:1.07:1.53:1.10:1.14:0.83:1.23:0.99:0.75:0.54:0.77:0.17,1714318.4,1175901.0,1134727.9,565042.94,1.49:1.02:0.99:0.49,40343,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial OS=Mus musculus OX=10090 GN=Mecr PE=1 SV=2"
1012,TRUE,"P20918|PLMN_MOUSE",12.82,7.39,5,5,"Carbamidomethylation",77280.27,81842.36,42444.484,62455.93,88813.05,135358.1,111397.766,311645.66,135376.27,132563.27,166626.06,327222.0,0.55:0.59:0.30:0.45:0.64:0.97:0.80:2.24:0.97:0.95:1.20:2.35,67189.04,95542.35,186139.89,208803.78,0.48:0.69:1.34:1.50,90808,"Plasminogen OS=Mus musculus OX=10090 GN=Plg PE=1 SV=3"
3145,TRUE,"Q9CQ89|CUTA_MOUSE",6.92,7.91,1,1,"",86453.98,53643.15,56638.21,73262.69,80690.18,37226.867,44837.3,42373.16,35909.96,51564.21,50102.375,40966.387,1.59:0.98:1.04:1.34:1.48:0.68:0.82:0.78:0.66:0.95:0.92:0.75,65578.445,63726.58,41040.14,47544.324,1.20:1.17:0.75:0.87,18865,"Protein CutA OS=Mus musculus OX=10090 GN=Cuta PE=1 SV=3"
275,FALSE,"Q920Q6|MSI2H_MOUSE",0.63,2.02,1,1,"",30504.475,28212.115,70074.72,48943.746,41556.15,35532.316,34391.938,33266.906,35363.43,60001.094,30587.016,38395.867,0.75:0.70:1.73:1.21:1.02:0.88:0.85:0.82:0.87:1.48:0.75:0.95,42930.438,42010.74,34340.758,42994.66,1.06:1.04:0.85:1.06,36939,"RNA-binding protein Musashi homolog 2 OS=Mus musculus OX=10090 GN=Msi2 PE=1 SV=1"
3199,TRUE,"Q9WVR4|FXR2_MOUSE",7.33,2.53,1,1,"",2708.3809,2697.28,1698.637,439.82803,433.4813,2032.8303,1341.7441,3375.3745,8362.813,740.7432,2758.4092,0.0,1.22:1.22:0.77:0.20:0.20:0.92:0.61:1.52:3.77:0.33:1.24:0.00,2368.0994,968.7132,4359.9775,1749.5762,1.00:0.41:1.85:0.74,73743,"RNA-binding protein FXR2 OS=Mus musculus OX=10090 GN=Fxr2 PE=1 SV=1"
1241,TRUE,"Q8K2M0|RM38_MOUSE",2.13,7.37,3,3,"",55447.9,57067.805,88233.58,98375.01,75166.12,77917.47,42573.09,57116.03,54314.047,62077.67,123680.49,21127.816,0.82:0.84:1.30:1.45:1.11:1.15:0.63:0.84:0.80:0.92:1.83:0.31,70353.98,83819.53,57858.24,79288.08,0.97:1.15:0.79:1.09,45030,"Large ribosomal subunit protein mL38 OS=Mus musculus OX=10090 GN=Mrpl38 PE=1 SV=2"
789,FALSE,"Q62361|TRH_MOUSE",3.89,2.34,1,1,"",3615.747,8779.87,11811.426,0.0,2719.408,4163.8994,0.0,5019.7393,26545.572,0.0,3657.7134,6626.0327,0.59:1.44:1.94:0.00:0.45:0.69:0.00:0.83:4.37:0.00:0.60:1.09,8069.014,3441.6538,15782.656,5141.873,1.00:0.42:1.95:0.63,29195,"Pro-thyrotropin-releasing hormone OS=Mus musculus OX=10090 GN=Trh PE=2 SV=2"
141,TRUE,"P26041|MOES_MOUSE",6.23,39.17,37,25,"Carbamidomethylation; Oxidation (M)",420650.66,500138.12,364161.47,414686.62,1574066.9,1016182.25,699840.25,1065628.0,1347930.1,792816.7,811329.5,7313349.0,0.31:0.37:0.27:0.30:1.16:0.75:0.51:0.78:0.99:0.58:0.60:5.38,428316.75,1001645.25,1037799.5,2978207.5,0.31:0.74:0.76:2.19,67767,"Moesin OS=Mus musculus OX=10090 GN=Msn PE=1 SV=3"
1007,TRUE,"Q9CXS4|CENPV_MOUSE",1.23,30.16,6,6,"Carbamidomethylation",283994.7,493539.8,207259.0,838899.3,909555.56,285225.38,1064203.2,263469.28,224806.3,575518.0,891534.06,142047.92,0.55:0.96:0.40:1.63:1.77:0.55:2.07:0.51:0.44:1.12:1.73:0.28,328264.5,677893.44,517492.94,536366.6,0.64:1.32:1.00:1.04,27541,"Centromere protein V OS=Mus musculus OX=10090 GN=Cenpv PE=1 SV=2"
2047,TRUE,"Q8JZS9|RM48_MOUSE",4.37,9.95,2,2,"Oxidation (M)",46690.22,17372.262,36466.156,23309.068,39408.742,42283.06,37727.793,29986.436,38444.176,32966.836,50298.78,128250.97,1.07:0.40:0.84:0.53:0.90:0.97:0.87:0.69:0.88:0.76:1.15:2.94,33509.547,35000.29,35386.137,70505.53,0.77:0.80:0.81:1.62,23953,"Large ribosomal subunit protein mL48 OS=Mus musculus OX=10090 GN=Mrpl48 PE=1 SV=1"
1083,FALSE,"Q6ZQA6|IGSF3_MOUSE",0.04,0.50,1,1,"",2657.3662,0.0,0.0,236705.11,0.0,0.0,16143.593,0.0,0.0,0.0,34645.645,0.0,0.11:0.00:0.00:9.79:0.00:0.00:0.67:0.00:0.00:0.00:1.43:0.00,2657.3662,236705.11,16143.593,34645.645,0.04:3.26:0.22:0.48,134710,"Immunoglobulin superfamily member 3 OS=Mus musculus OX=10090 GN=Igsf3 PE=1 SV=2"
395,TRUE,"Q6R0H7|GNAS1_MOUSE",0.79,8.74,14,10,"Carbamidomethylation",254700.72,135341.25,148293.97,202102.72,205729.7,185632.02,154411.53,233025.9,207832.4,169111.47,303733.7,61052.336,1.35:0.72:0.79:1.07:1.09:0.99:0.82:1.24:1.10:0.90:1.61:0.32,179445.31,197821.48,198423.28,177965.83,0.95:1.05:1.05:0.94,121505,"Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Mus musculus OX=10090 GN=Gnas PE=1 SV=1"
2787,TRUE,"Q5EG47|AAPK1_MOUSE",5.33,1.79,1,1,"",19709.285,23730.896,21962.54,17257.74,7170.4707,7241.924,11668.986,21814.875,18927.582,21595.45,0.0,3471.5554,1.35:1.63:1.51:1.19:0.49:0.50:0.80:1.50:1.30:1.48:0.00:0.24,21800.906,10556.712,17470.48,12533.502,1.40:0.68:1.12:0.80,63929,"5'-AMP-activated protein kinase catalytic subunit alpha-1 OS=Mus musculus OX=10090 GN=Prkaa1 PE=1 SV=2"
